address,amount
0x01100683429570C5EcFA934BC2dfffE4D647540F,0.0
0x011009c9d03c229713a5a3Da6EBfb792d520Dd6b,0.0
0x0114861D78A9ffafB1F7fE595A1a1fdCE7B79772,0.0
0x0114cAd56E64eD1FE71cDF1C74d2Ffea0EC79d2F,0.0
0x01151e78ed348295d926Ea055407064B24FFf516,0.0
0x0115294713a2A5581645e0d6c785a595d63F54CA,0.0
0x011924Bf027877fcf6376087332AaF4C19a1244D,0.0
0x011Eb46ce65b6809976641DC214Be7ceC77E41bD,0.0
0x0120a283624e05B603e69C023dc19a419Eeb989E,0.0
0x012203510fc81d24418c88885abAB78cd58C448d,0.0
0x0124b3ef01938106BBe79f04462D6944D78b6AE2,0.0
0x0125054443c774AC1009187b54bd6B035ee4C61a,0.0
0x0126e5F05c27054E4D4584932530065c195185d5,0.0
0x01288B3CD20a2FCF0178BBbD75598b09B93E6371,0.0
0x012897ea8E65bDD80d77865592640E9c95e8b0b0,0.0
0x0128d624c77dab2D912Af2b262BC613f26699eF7,0.0
0x0129656E31dB0F6ca1Fed9f02F121830e87eAA2C,0.0
0x0129E2B896B6431fdC3356f903545C7587d16D85,0.0
0x0129c232Be13Ef46d3b5F2F460ca7c9c6bCd5c1B,0.0
0x012efD1A81afdB88C35cF15a903ddb327052e777,0.0
0x0131377F1062Ace9FD5020CBAC8d5D4954f753f3,0.0
0x01313aE3fb15e5075bbb68702fc72dfF5C61b1cb,0.0
0x0133f65eCB4E7560805457809e36229513151650,0.0
0x0134d76528A854980e9387fcF0805132eC338430,0.0
0x0136ce345503004525f363648ccD383636e879f1,0.0
0x013812d42954149D2bC3e0246d65f4097D1B2fE5,0.0
0x013813934368eDcCa3aBB7E8C8c6DBeC4913643e,0.0
0x0139072C0F44A0eF2aC7317d34BBbB5089b278C1,0.0
0x013B20A3696dE7975ec7F2c847Ecc6E2d0D6Cb71,0.0
0x013bc8d052Da1034Ac1d38b144B265216189547b,0.0
0x0142609D3510A76677fA5BcF3e39D34e6F7E3172,0.0
0x01432e5cEF3124775767bDE7D61D853F20Af39B0,0.0
0x0145aD685DCF5DbDc641aDdF4Df144fDd52dABe8,0.0
0x0145bE32Ccb0e019468Fe02cdA9Cf2f7FcB2D9DB,0.0
0x014602311030a28C2726d268dF9f36a68341faA1,0.0
0x014884B5c2Ec620cF16288702b2cc4d32923E815,0.0
0x014C111c4d8f824e0183bBc675dCe8C952b291bE,0.0
0x014CCe037e5b5eEa4B6DAaa16A03B9B35a8375C0,0.0
0x014E5F47F1ddafa754Cc7af2FDD4EEd5D93cD27b,0.0
0x014cb673F9C97659d7291b28b5445becA803A58f,0.0
0x014d46Ec6B9dD511948d383c4B7f7E6088Cf310E,0.0
0x014d605d58FCa24dA051EB81dFCa3954aE585CD0,0.0
0x0150C68d9d87F10446EeC313D732397B5DB09280,0.0
0x0150aaF57B98b54a3812a0E4aAE164DD2C0eb821,0.0
0x01571444300D21AbA43CCbE36c754c2D4A8DCA09,0.0
0x0157BC1210f979E29A5772d3e6724b41EaC45cAd,0.0
0x0157aEbE0cc91e6b9e4387d351a9301D7C4fE77A,0.0
0x0158841C758Ec8A01a59a73caeeCd8AD66D90566,0.0
0x01596Ee01164fC4772b652D2714022F91A5d3013,0.0
0x0159Dfc1C745Dc4B10d42d2592335120F1F2D778,0.0
0x015C87fe09F575d4043fFE6882aef57F06cfA2d7,0.0
0x015E838A964ded3Df9CbDe86007ecDd8E7EEFC15,0.0
0x015Ee2f3397f6E285A438BcEaC0E846Aca69a155,0.0
0x015b1B2153A4CBa8d26bFD4cF3CaA84766f22D00,0.0
0x015d4613cAf22cc2aa3F130e11373b2aE2A4F030,0.0
0x0160275Be33A5E3Ecd70804412570c21db57213A,0.0
0x0161d1Cc10116bb2a073A0c293d5E4F1a97A00b6,0.0
0x0161e853B8BEa3b58B33D7fd443f99650D62404B,0.0
0x0162471D65abcC3b2f25693C3672Dc1785b6C14e,0.0
0x0163C7B6FA96Cd58Ac7DEF93f643F4Df3F2F5dFD,0.0
0x0164683bf8E8360D1aE91B4243824801A5Bfc63b,0.0
0x0164e9fB4f2E0634C483fFFe05835d8D822876b9,0.0
0x0165aa8Dd3E1996618f09b784829c54078f1dD4f,0.0
0x0167a069999c5Ba1121dF0571800728c62E6A596,2.6387069991001702e+17
0x01686a6E2567A39218Fa0c4f3854C398CFB43bCf,0.0
0x0169fEdd1D3243C68bd8c6B239BD0aaB62557c6b,0.0
0x016D4412299A7B77b61078E73BAC9d6de4821000,1e+18
0x016E8241e57eB12788b066697c3167Bbed0b9718,0.0
0x016e47911BFCe8c35Bb3aB6fC18435CB7142c7D2,0.0
0x0174DB1d326FB0C02c80b0ba92458A7c8B75E23e,41723224394752.0
0x01799716ce89F54D7CfcB5Cf4868E647F91F3E57,4.3e+16
0x017AB3952bde5BA33DB4d9338bD326b1dE982038,0.0
